Document,Topic,Probability
v190_221.txt,4,0.9984911
v180_156.txt,0,0.9955414
v170_029.txt,6,0.9989444
v180_183.txt,4,0.99934727
v180_197.txt,4,0.9968061
v160_004.txt,1,0.9996429
v180_192.txt,7,0.99896395
v180_179.txt,4,0.9994597
v180_178.txt,5,0.99871206
v190_232.txt,4,0.99894774
v190_224.txt,3,0.9666505
v160_007.txt,1,0.9997816
v180_191.txt,6,0.99910945
v180_195_a.txt,4,0.9971313
v190_231.txt,1,0.99877787
v170_115.txt,4,0.9984862
v170_061.txt,7,0.9992803
v180_134.txt,1,0.99788064
v180_135.txt,5,0.9993778
v170_060.txt,1,0.88034976
v170_060.txt,4,0.11825536
v170_114.txt,5,0.63715625
v170_114.txt,9,0.33524168
v170_100.txt,0,0.99583095
v190_280.txt,1,0.41849062
v190_280.txt,4,0.58118576
v170_102.txt,4,0.015760573
v170_102.txt,5,0.9584205
v180_137.txt,3,0.9967022
v180_122.txt,1,0.99915105
v170_103.txt,4,0.9972031
v190_283.txt,0,0.99945027
v170_107.txt,4,0.99374324
v170_098.txt,4,0.99875605
v170_099.txt,4,0.9959241
v190_279.txt,0,0.6094994
v190_279.txt,1,0.08676263
v190_279.txt,4,0.30275097
v190_286.txt,1,0.99751145
v170_110.txt,7,0.9968843
v170_111.txt,4,0.38153186
v170_111.txt,6,0.6147796
v170_083.txt,4,0.99714035
v180_128.txt,0,0.9988601
v190_262.txt,9,0.9993655
v190_276.txt,0,0.6888507
v190_276.txt,1,0.3108067
v170_109.txt,4,0.9979893
v190_248.txt,1,0.99913627
v170_094.txt,7,0.9911719
v170_056.txt,1,0.99560606
v170_081.txt,1,0.17998886
v170_081.txt,4,0.44401997
v170_081.txt,5,0.37174696
v190_275.txt,1,0.9992935
v190_271.txt,0,0.9993229
v170_046.txt,2,0.7632391
v170_046.txt,4,0.2315307
v170_090.txt,1,0.86491305
v170_090.txt,7,0.13068701
v170_045.txt,1,0.99687225
v170_078.txt,0,0.845662
v170_078.txt,6,0.15138431
v180_200.txt,6,0.9970384
v170_037.txt,4,0.99948907
v180_177.txt,4,0.99844706
v190_229.txt,1,0.99824744
v180_202.txt,4,0.99940455
v170_031.txt,0,0.055384208
v170_031.txt,4,0.939242
v160_019.txt,4,0.99902076
v180_170.txt,4,0.99905866
v180_159.txt,0,0.16480073
v180_159.txt,1,0.49390718
v180_159.txt,4,0.33932403
v180_171.txt,9,0.99943477
v190_210.txt,1,0.9993076
